"Gene","Cerebrum","Cerebellum","Brainstem","Spinal cord","Kidney","Liver","Heart","Skeletal muscle","Adipose","Small intestine","Large intestine","Stomach","Placenta","Testis"
"Txnrd1",7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,15848931.9246111,7924465.96230557,316227766.016838,7924465.96230557,7924465.96230557,39810717.0553497,63095734.4480193
"Arf5",794328234.724282,630957344.480194,1995262314.96888,630957344.480194,3971641.17362141,25118864.3150958,3971641.17362141,7943282.34724282,50118723.3627272,251188643.150958,1e+08,25118864.3150958,316227766.016838,398107170.553497
"Trmt10c",199053.585276748,199053.585276748,199053.585276748,199053.585276748,199053.585276748,199053.585276748,199053.585276748,199053.585276748,199053.585276748,199053.585276748,398107.170553497,199053.585276748,15848931.9246111,199053.585276748
"Them7",792446596.230555,792446596.230555,792446596.230555,792446596.230555,1584893192.46111,792446596.230555,792446596.230555,792446596.230555,792446596.230555,792446596.230555,792446596.230555,792446596.230555,792446596.230555,792446596.230555
"Lactb2",12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,7943282347.24282,630957344.480194,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,63095734.4480193,25118864.3150958,12559432.1575479,12559432.1575479
"Smim26",79432823.4724282,39810717.0553497,1e+08,31622776.6016838,251188643.150958,19952623.1496888,1e+07,5e+06,5e+06,5e+06,5e+06,5e+06,39810717.0553497,31622776.6016838
"Pgam5",398107170.553497,199526231.496888,1e+08,1e+08,3971641.17362141,3971641.17362141,3971641.17362141,7943282.34724282,316227766.016838,3971641.17362141,63095734.4480193,3971641.17362141,2511886431.50958,1995262314.96888
"Ptpmt1",794328234.724282,501187233.627271,1258925411.79417,398107170.553497,398107170.553497,398107170.553497,19952623.1496888,1e+08,398107170.553497,398107170.553497,794328234.724282,158489319.246111,398107170.553497,501187233.627271
"Hebp1",251188643.150958,50118723.3627272,25059361.6813636,25059361.6813636,25059361.6813636,158489319.246111,25059361.6813636,25059361.6813636,1584893192.46111,25059361.6813636,25059361.6813636,25059361.6813636,125892541.179417,25059361.6813636
"Abcd1",3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,7943282.34724282,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141
"Hsdl1",501187233.627271,199526231.496888,398107170.553497,501187233.627271,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,1e+08,25118864.3150958,158489319.246111,63095734.4480193,794328234.724282,794328234.724282
"Cbr3",3162277.66016838,1581138.83008419,1581138.83008419,6309573.44480193,1581138.83008419,1581138.83008419,1581138.83008419,1581138.83008419,15848931.9246111,31622776.6016838,39810717.0553497,19952623.1496888,1581138.83008419,1581138.83008419
"Prdx6",63095734.4480193,79432823.4724282,251188643.150958,1e+08,2505936.16813636,125892541.179417,2505936.16813636,2505936.16813636,5011872.33627272,79432823.4724282,15848931.9246111,2505936.16813636,316227766.016838,794328234.724282
"Dnajc4",3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,7943282.34724282,3971641.17362141,3971641.17362141,3971641.17362141
"Cebpzos",6309573.44480193,1581138.83008419,3162277.66016838,7943282.34724282,1581138.83008419,12589254.1179417,1e+07,3981071.70553497,12589254.1179417,1581138.83008419,25118864.3150958,1581138.83008419,25118864.3150958,6309573.44480193
"Foxred1",5e+05,5e+05,5e+05,5e+05,5e+05,5e+05,5e+05,5e+05,63095734.4480193,5e+05,1e+06,5e+05,63095734.4480193,25118864.3150958
"Eri3",79432823.4724282,31622776.6016838,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419
"Dhx30",199526231.496888,398107170.553497,251188643.150958,31622776.6016838,39810717.0553497,12589254.1179417,5e+06,63095734.4480193,1e+07,5e+06,251188643.150958,63095734.4480193,79432823.4724282,1258925411.79417
"Bcl2l13",316227766.016838,251188643.150958,398107170.553497,1e+08,125892541.179417,2511886.43150958,630957344.480194,794328234.724282,794328234.724282,1255943.21575479,251188643.150958,39810717.0553497,630957344.480194,251188643.150958
"Acp6",125892541.179417,15811388.3008419,15811388.3008419,63095734.4480193,501187233.627271,199526231.496888,15811388.3008419,31622776.6016838,630957344.480194,1258925411.79417,398107170.553497,39810717.0553497,158489319.246111,251188643.150958
"Cox7a2l",316227766.016838,125892541.179417,316227766.016838,199526231.496888,1e+08,199526231.496888,63095734.4480193,7943282.34724282,125892541.179417,158489319.246111,199526231.496888,125892541.179417,398107170.553497,79432823.4724282
"Tstd1",19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748,39810717.0553497,19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748,158489319.246111,1e+09,19905358.5276748,19905358.5276748,19905358.5276748
"Qdpr",251188643.150958,158489319.246111,1e+09,251188643.150958,316227766.016838,316227766.016838,6294627.05897083,6294627.05897083,25118864.3150958,6294627.05897083,6294627.05897083,12589254.1179417,79432823.4724282,63095734.4480193
"Acsm2",5e+07,5e+07,5e+07,5e+07,316227766016.838,2511886431.50958,1e+08,5e+07,5e+07,5e+07,5e+07,5e+07,5e+07,5e+07
"Osbpl1a",316227766.016838,792446.596230557,792446.596230557,792446.596230557,792446.596230557,1584893.19246111,792446.596230557,792446.596230557,792446.596230557,792446.596230557,25118864.3150958,792446.596230557,125892541.179417,792446.596230557
"Mtif3",7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,15848931.9246111,7924465.96230557,7924465.96230557,7924465.96230557
"Pet100",25118864.3150958,3154786.72240097,3154786.72240097,12589254.1179417,63095734.4480193,6309573.44480193,12589254.1179417,3154786.72240097,3154786.72240097,25118864.3150958,1e+08,3154786.72240097,19952623.1496888,3154786.72240097
"Tfb1m",12559432.1575479,12559432.1575479,31622776.6016838,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,25118864.3150958,12559432.1575479,79432823.4724282,398107170.553497
"Fth1",79432823.4724282,5011872.33627272,251188643.150958,50118723.3627272,2505936.16813636,125892541.179417,2505936.16813636,2505936.16813636,199526231.496888,1e+08,31622776.6016838,79432823.4724282,1258925411.79417,2505936.16813636
"Tspo",15811388.3008419,15811388.3008419,15811388.3008419,39810717.0553497,1258925411.79417,630957344.480194,15811388.3008419,31622776.6016838,1584893192.46111,199526231.496888,630957344.480194,398107170.553497,2511886431.50958,501187233.627271
"Glyat",5e+06,5e+06,5e+06,1e+07,39810717055.3497,15848931924.6111,5e+06,5e+06,5e+06,5e+06,5e+06,5e+06,25118864.3150958,5e+06
"Tmem186",1e+08,125892541.179417,251188643.150958,50118723.3627272,12559432.1575479,31622776.6016838,31622776.6016838,63095734.4480193,125892541.179417,63095734.4480193,125892541.179417,25118864.3150958,79432823.4724282,158489319.246111
"Pex11b",251188643.150958,398107170.553497,794328234.724282,501187233.627271,501187233.627271,398107170.553497,1581138.83008419,1581138.83008419,3162277.66016838,199526231.496888,31622776.6016838,1581138.83008419,158489319.246111,251188643.150958
"Sod1",1584893192.46111,1e+09,5011872336.27271,794328234.724282,3162277660.16838,3162277660.16838,158489319.246111,316227766.016838,1995262314.96888,1e+09,501187233.627271,1e+09,1e+09,1584893192.46111
"Star",158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,158113883.008419,316227766.016838
"Gtpbp10",7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,7924465.96230557,15848931.9246111,7924465.96230557,25118864.3150958,7924465.96230557
"Acss3",5e+07,5e+07,5e+07,5e+07,1e+08,1258925411.79417,5e+07,5e+07,2511886431.50958,5e+07,5e+07,5e+07,1e+09,125892541.179417
"Ccdc51",199526231.496888,50118723.3627272,158489319.246111,7943282.34724282,501187233.627271,39810717.0553497,50118723.3627272,39810717.0553497,158489319.246111,125892541.179417,251188643.150958,15848931.9246111,630957344.480194,31622776.6016838
"Acot9",316227766.016838,39810717.0553497,251188643.150958,199526231.496888,1584893192.46111,19905358.5276748,50118723.3627272,158489319.246111,1995262314.96888,1995262314.96888,125892541.179417,251188643.150958,3981071705.53497,3162277660.16838
"Ndufaf3",794328234.724282,630957344.480194,630957344.480194,398107170.553497,794328234.724282,158489319.246111,251188643.150958,63095734.4480193,199526231.496888,251188643.150958,398107170.553497,199526231.496888,158489319.246111,158489319.246111
"Flad1",997631.157484439,997631.157484439,997631.157484439,6309573.44480193,997631.157484439,997631.157484439,997631.157484439,997631.157484439,1e+08,997631.157484439,997631.157484439,1995262.31496888,997631.157484439,997631.157484439
"Acaca",1255943.21575479,1255943.21575479,79432823.4724282,15848931.9246111,1255943.21575479,3981071.70553497,1255943.21575479,1255943.21575479,63095734.4480193,1255943.21575479,25118864.3150958,2511886.43150958,39810717.0553497,125892541.179417
"Kmo",125594321.575479,125594321.575479,125594321.575479,125594321.575479,251188643.150958,2511886431.50958,125594321.575479,125594321.575479,125594321.575479,125594321.575479,125594321.575479,125594321.575479,125594321.575479,125594321.575479
"Oxr1",31622776.6016838,158489319.246111,398107170.553497,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419,15811388.3008419
"Nudt9",7943282.34724282,7943282.34724282,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,50118723.3627272,125892541.179417
"Thnsl1",794328234.724282,398107170.553497,630957344.480194,794328234.724282,7924465.96230557,7924465.96230557,7924465.96230557,39810717.0553497,79432823.4724282,7924465.96230557,50118723.3627272,15848931.9246111,7924465.96230557,2511886431.50958
