Gene,Cerebrum,Cerebellum,Brainstem,Spinal cord,Kidney,Liver,Heart,Skeletal muscle,Adipose,Small intestine,Large intestine,Stomach,Placenta,Testis
Fars2,15811388.300841896,15811388.300841896,15811388.300841896,15811388.300841896,15811388.300841896,15811388.300841896,15811388.300841896,15811388.300841896,31622776.60168379,15811388.300841896,63095734.448019296,31622776.60168379,50118723.36272725,125892541.17941661
Cbr4,1258925411.794166,1258925411.794166,1584893192.4611108,794328234.7242821,2511886431.509582,3981071705.5349693,1258925411.794166,199526231.49688828,1258925411.794166,316227766.01683795,794328234.7242821,398107170.5534969,1584893192.4611108,1995262314.9688828
Mrpl32,50118723.36272725,2505936.1681363625,50118723.36272725,12589254.117941663,2505936.1681363625,100000000,15848931.924611142,5011872.336272725,63095734.448019296,100000000,199526231.49688828,19952623.149688788,199526231.49688828,199526231.49688828
2310061I04Rik,1000000000,794328234.7242821,1258925411.794166,630957344.4801943,158489319.2461111,50118723.36272725,63095734.448019296,125892541.17941661,125892541.17941661,39810717.05534969,158489319.2461111,63095734.448019296,39810717.05534969,158489319.2461111
Fdx2,199526231.49688828,100000000,100000000,50118723.36272725,3971641.173621411,50118723.36272725,3971641.173621411,7943282.347242822,125892541.17941661,3971641.173621411,63095734.448019296,19952623.149688788,79432823.47242822,125892541.17941661
mt-Co2,39810717055.34969,31622776601.683792,50118723362.72715,31622776601.683792,50118723362.72715,25118864315.09582,50118723362.72715,7943282347.242822,19952623149.688828,31622776601.683792,39810717055.34969,25118864315.09582,19952623149.688828,10000000000
mt-Atp6,1258925411.794166,794328234.7242821,1584893192.4611108,63095734.448019296,398107170.5534969,158489319.2461111,316227766.01683795,1258925411.794166,199526231.49688828,501187233.6272715,158489319.2461111,251188643.1509582,158489319.2461111,199526231.49688828
Trap1,2511886431.509582,1000000000,3162277660.1683793,3162277660.1683793,25118864315.09582,10000000000,1000000000,1995262314.9688828,12589254117.941662,7943282347.242822,12589254117.941662,2511886431.509582,10000000000,5011872336.272715
Gpd2,15848931924.611109,6309573444.801943,12589254117.941662,12589254117.941662,7943282347.242822,3981071705.5349693,1990535852.7674847,19952623149.688828,19952623149.688828,12589254117.941662,6309573444.801943,7943282347.242822,5011872336.272715,7943282347.242822
Abcb7,1000000000,630957344.4801943,1000000000,630957344.4801943,630957344.4801943,398107170.5534969,15848931.924611142,794328234.7242821,100000000,501187233.6272715,501187233.6272715,158489319.2461111,158489319.2461111,31622776.60168379
Hsd17b10,15848931924.611109,12589254117.941662,15848931924.611109,10000000000,15848931924.611109,39810717055.34969,10000000000,1584893192.4611108,12589254117.941662,7943282347.242822,12589254117.941662,19952623149.688828,15848931924.611109,10000000000
Glud1,39810717055.34969,12589254117.941662,63095734448.019424,31622776601.683792,31622776601.683792,100000000000,1995262314.9688828,1995262314.9688828,25118864315.09582,63095734448.019424,12589254117.941662,7943282347.242822,63095734448.019424,3981071705.5349693
Aldh2,2511886431.509582,1258925411.794166,3162277660.1683793,3162277660.1683793,39810717055.34969,63095734448.019424,5011872336.272715,1584893192.4611108,79432823472.42822,50118723362.72715,31622776601.683792,10000000000,25118864315.09582,63095734448.019424
Tufm,5011872336.272715,1258925411.794166,5011872336.272715,5011872336.272715,12589254117.941662,5011872336.272715,10000000000,3981071705.5349693,7943282347.242822,15848931924.611109,10000000000,7943282347.242822,15848931924.611109,3981071705.5349693
Stoml2,1000000000,501187233.6272715,1584893192.4611108,501187233.6272715,1995262314.9688828,630957344.4801943,199526231.49688828,630957344.4801943,2511886431.509582,1258925411.794166,1584893192.4611108,501187233.6272715,6309573444.801943,1584893192.4611108
Dhrs4,1258925411.794166,794328234.7242821,3162277660.1683793,1000000000,10000000000,10000000000,1995262314.9688828,125892541.17941661,1584893192.4611108,1584893192.4611108,1000000000,398107170.5534969,630957344.4801943,1584893192.4611108
Aldh9a1,25059361.681363624,25059361.681363624,50118723.36272725,125892541.17941661,3162277660.1683793,1995262314.9688828,25059361.681363624,25059361.681363624,1000000000,3162277660.1683793,158489319.2461111,199526231.49688828,3162277660.1683793,794328234.7242821
Nars2,15811388.300841896,15811388.300841896,15811388.300841896,39810717.05534969,15811388.300841896,15811388.300841896,15811388.300841896,15811388.300841896,31622776.60168379,15811388.300841896,251188643.1509582,63095734.448019296,39810717.05534969,15811388.300841896
Vwa8,1258925411.794166,1995262314.9688828,3981071705.5349693,316227766.01683795,39810717055.34969,6309573444.801943,2511886431.509582,6309573444.801943,3162277660.1683793,1584893192.4611108,12589254117.941662,3981071705.5349693,1995262314.9688828,3981071705.5349693
Mrps26,630957344.4801943,398107170.5534969,501187233.6272715,398107170.5534969,316227766.01683795,316227766.01683795,158489319.2461111,39810717.05534969,501187233.6272715,316227766.01683795,1584893192.4611108,199526231.49688828,794328234.7242821,125892541.17941661
Adck5,2511886.4315095823,1255943.2157547912,1255943.2157547912,1255943.2157547912,1255943.2157547912,1255943.2157547912,1255943.2157547912,1255943.2157547912,1255943.2157547912,1255943.2157547912,12589254.117941663,1255943.2157547912,1255943.2157547912,7943282.347242822
Cars2,39810717.05534969,6294627.058970831,6294627.058970831,6294627.058970831,6294627.058970831,6294627.058970831,100000000,100000000,158489319.2461111,50118723.36272725,39810717.05534969,12589254.117941663,63095734.448019296,158489319.2461111
Ndufb11,3981071705.5349693,3162277660.1683793,5011872336.272715,1584893192.4611108,7943282347.242822,1995262314.9688828,2511886431.509582,1584893192.4611108,1995262314.9688828,3162277660.1683793,3162277660.1683793,3981071705.5349693,1584893192.4611108,630957344.4801943
Pdha2,199526231.49688828,15848931.924611142,125892541.17941661,251188643.1509582,125892541.17941661,251188643.1509582,630957344.4801943,7924465.962305571,100000000,199526231.49688828,100000000,100000000,316227766.01683795,19952623149.688828
Ssbp1,1000000000,630957344.4801943,794328234.7242821,630957344.4801943,1995262314.9688828,1584893192.4611108,630957344.4801943,125892541.17941661,794328234.7242821,1995262314.9688828,1995262314.9688828,501187233.6272715,3981071705.5349693,1584893192.4611108
